pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
688,0,10967,2038.4758,16.6971,53.642307,4,0.0365,3,0.0274,24,0.2188,3,0.0274,1,0.0091,1,0.0091
769,0,10706,1989.9628,17.1915,54.650537,3,0.0280,1,0.0093,0,0.0000,2,0.0187,0,0.0000,1,0.0093
310,1487,10581,1966.7286,15.6876,50.598046,8,0.0756,3,0.0284,74,0.6994,1,0.0095,3,0.0284,3,0.0284
242,0,10147,1886.0595,16.8365,53.67495,5,0.0493,6,0.0591,0,0.0000,0,0.0000,0,0.0000,3,0.0296
372,758,10034,1865.0558,17.0981,54.667458,9,0.0897,2,0.0199,0,0.0000,0,0.0000,3,0.0299,2,0.0199
82,658,9853,1831.4126,15.7862,50.779992,2,0.0203,2,0.0203,0,0.0000,0,0.0000,2,0.0203,1,0.0101
98,870,9739,1810.2230,15.5097,50.199804,2,0.0205,0,0.0000,18,0.1848,2,0.0205,5,0.0513,5,0.0513
622,0,9523,1770.0743,18.3082,57.13606,1,0.0105,2,0.0210,19,0.1995,1,0.0105,0,0.0000,0,0.0000
306,1475,9440,1754.6468,16.3958,52.211862,9,0.0953,2,0.0212,67,0.7097,0,0.0000,0,0.0000,4,0.0424
18,0,9226,1714.8699,18.1142,57.023419,4,0.0434,1,0.0108,69,0.7479,2,0.0217,2,0.0217,4,0.0434
